	Dataset	Level	SampleID	Reference	Method	Parameters	Precision	Recall	F-measure	Taxon Accuracy Rate	Taxon Detection Rate
132	fuhrman_18Sv4	3	MP_ERR3712072	pr2-ssu	blast+	0.001:1:0.51:0.8	0.5967315097013709	0.5967315097013709	0.5967315097013709	0.8571428571428571	0.8571428571428571
133	fuhrman_18Sv4	3	MP_ERR3712077	pr2-ssu	blast+	0.001:1:0.51:0.8	0.5011272185710968	0.5011272185710968	0.5011272185710968	0.8571428571428571	0.8571428571428571
134	fuhrman_18Sv4	4	MP_ERR3712072	pr2-ssu	blast+	0.001:1:0.51:0.8	0.5342589457049328	0.5342589457049328	0.5342589457049328	0.6666666666666666	0.75
135	fuhrman_18Sv4	4	MP_ERR3712077	pr2-ssu	blast+	0.001:1:0.51:0.8	0.47129350038940276	0.47129350038940276	0.47129350038940276	0.7	0.7777777777777778
136	fuhrman_18Sv4	5	MP_ERR3712072	pr2-ssu	blast+	0.001:1:0.51:0.8	0.09871944413089012	0.09871944413089012	0.09871944413089011	0.2727272727272727	0.3333333333333333
137	fuhrman_18Sv4	5	MP_ERR3712077	pr2-ssu	blast+	0.001:1:0.51:0.8	0.1141360040443236	0.1141360040443236	0.1141360040443236	0.35714285714285715	0.45454545454545453
138	fuhrman_18Sv4	6	MP_ERR3712072	pr2-ssu	blast+	0.001:1:0.51:0.8	0.032484228217380944	0.032484228217380944	0.032484228217380944	0.09090909090909091	0.1111111111111111
139	fuhrman_18Sv4	6	MP_ERR3712077	pr2-ssu	blast+	0.001:1:0.51:0.8	0.08937135361871319	0.08937135361871319	0.08937135361871319	0.1875	0.25
140	fuhrman_18Sv4	2	MP_ERR3712072	rcrux-18sv4	naive-bayes	[7,7]:0.5	0.0	0.0	0.0	0.25	0.2857142857142857
141	fuhrman_18Sv4	2	MP_ERR3712077	rcrux-18sv4	naive-bayes	[7,7]:0.5	0.0	0.0	0.0	0.3333333333333333	0.375
142	fuhrman_18Sv4	3	MP_ERR3712072	rcrux-18sv4	naive-bayes	[7,7]:0.5	0.0	0.0	0.0	0.1111111111111111	0.1111111111111111
143	fuhrman_18Sv4	3	MP_ERR3712077	rcrux-18sv4	naive-bayes	[7,7]:0.5	0.0	0.0	0.0	0.1	0.09090909090909091
144	fuhrman_18Sv4	4	MP_ERR3712072	rcrux-18sv4	naive-bayes	[7,7]:0.5	0.0	0.0	0.0	0.0	0.0
145	fuhrman_18Sv4	4	MP_ERR3712077	rcrux-18sv4	naive-bayes	[7,7]:0.5	0.0	0.0	0.0	0.0	0.0
146	fuhrman_18Sv4	5	MP_ERR3712072	rcrux-18sv4	naive-bayes	[7,7]:0.5	0.0	0.0	0.0	0.0	0.0
147	fuhrman_18Sv4	5	MP_ERR3712077	rcrux-18sv4	naive-bayes	[7,7]:0.5	0.0	0.0	0.0	0.0	0.0
148	fuhrman_18Sv4	6	MP_ERR3712072	rcrux-18sv4	naive-bayes	[7,7]:0.5	0.0	0.0	0.0	0.0	0.0
149	fuhrman_18Sv4	6	MP_ERR3712077	rcrux-18sv4	naive-bayes	[7,7]:0.5	0.0	0.0	0.0	0.0	0.0
150	fuhrman_18Sv4	2	MP_ERR3712072	rcrux-18sv4	naive-bayes	[10,10]:0.5	0.0	0.0	0.0	0.25	0.2857142857142857
151	fuhrman_18Sv4	2	MP_ERR3712077	rcrux-18sv4	naive-bayes	[10,10]:0.5	0.0	0.0	0.0	0.3333333333333333	0.375
152	fuhrman_18Sv4	3	MP_ERR3712072	rcrux-18sv4	naive-bayes	[10,10]:0.5	0.0	0.0	0.0	0.1111111111111111	0.1111111111111111
153	fuhrman_18Sv4	3	MP_ERR3712077	rcrux-18sv4	naive-bayes	[10,10]:0.5	0.0	0.0	0.0	0.1	0.09090909090909091
